LineId,Time,Time,Content,EventId,EventTemplate,ParameterList
22,"{""host"":""login01"",""ident"":""CROND"",""pid"":""17400"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""17400"",""message"":""(root)","CMD (/cinecalocal/scripts/clean_scratch_local.sh 1>/dev/null 2>/dev/null)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",2818e91b,"CMD (/cinecalocal/scripts/clean_scratch_local.sh 1>/dev/null 2>/dev/null)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",[]
23,"{""host"":""login01"",""ident"":""CROND"",""pid"":""17414"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""17414"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",025a764c,"CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:00:01']
24,"{""host"":""login01"",""ident"":""CROND"",""pid"":""19074"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""19074"",""message"":""(root)","CMD (run-parts /etc/cron.hourly)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",960e97e5,"CMD (run-parts /etc/cron.hourly)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
25,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""19074"",""message"":""(/etc/cron.hourly)","{""host"":""login01"",""ident"":""run-parts"",""pid"":""19074"",""message"":""(/etc/cron.hourly)","starting 0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",1691bc66,"starting <*> <*> +0100""}","['0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01']"
26,"{""host"":""login01"",""ident"":""anacron"",""pid"":""19083"",""message"":""Anacron","{""host"":""login01"",""ident"":""anacron"",""pid"":""19083"",""message"":""Anacron","started on 2024-03-27"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",79e38360,"started on 2024-03-27"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
27,"{""host"":""login01"",""ident"":""anacron"",""pid"":""19083"",""message"":""Normal","{""host"":""login01"",""ident"":""anacron"",""pid"":""19083"",""message"":""Normal","exit (0 jobs run)"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",bcd30937,"exit <*> <*> run)"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['(0 jobs', '01:01:01']"
28,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""19074"",""message"":""(/etc/cron.hourly)","{""host"":""login01"",""ident"":""run-parts"",""pid"":""19074"",""message"":""(/etc/cron.hourly)","finished 0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",54d6b46c,"finished <*> <*> +0100""}","['0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01']"
29,"{""host"":""login01"",""ident"":""CROND"",""pid"":""24524"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""24524"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:05:01 +0100""}",ee2aaa0c,"CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:05:01']
30,"{""host"":""login01"",""ident"":""CROND"",""pid"":""31045"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""31045"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:10:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '01:10:01']"
31,"{""host"":""login01"",""ident"":""CROND"",""pid"":""37841"",""message"":""(acctdata)","{""host"":""login01"",""ident"":""CROND"",""pid"":""37841"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:15:01 +0100""}",9627c7b3,"CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g >/tmp/lastcron_cindata 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:15:01']
32,"{""host"":""login01"",""ident"":""CROND"",""pid"":""1762"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""1762"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:20:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '01:20:01']"
33,"{""host"":""login01"",""ident"":""CROND"",""pid"":""21990"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""21990"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:30:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '01:30:01']"
34,"{""host"":""login01"",""ident"":""CROND"",""pid"":""22005"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""22005"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:30:01 +0100""}",025a764c,"CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:30:01']
35,"{""host"":""login01"",""ident"":""CROND"",""pid"":""29177"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""29177"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:35:01 +0100""}",ee2aaa0c,"CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:35:01']
36,"{""host"":""login01"",""ident"":""CROND"",""pid"":""36050"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""36050"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:40:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '01:40:01']"
37,"{""host"":""login01"",""ident"":""CROND"",""pid"":""43199"",""message"":""(acctdata)","{""host"":""login01"",""ident"":""CROND"",""pid"":""43199"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:45:01 +0100""}",9627c7b3,"CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g >/tmp/lastcron_cindata 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:45:01']
38,"{""host"":""login01"",""ident"":""CROND"",""pid"":""43208"",""message"":""(a07ccc02)","{""host"":""login01"",""ident"":""CROND"",""pid"":""43208"",""message"":""(a07ccc02)","CMD (/g100/home/usera07ccc/a07ccc02/acct_data/scripts_in_cron/sync_acct-data_to_dres.sh)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:45:01 +0100""}",4b700d2d,"CMD <*> <*> +0100""}","['(/g100/home/usera07ccc/a07ccc02/acct_data/scripts_in_cron/sync_acct-data_to_dres.sh)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:45:01']"
39,"{""host"":""login01"",""ident"":""CROND"",""pid"":""13523"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""13523"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:50:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '01:50:01']"
40,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26540"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""26540"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '02:00:01']"
41,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26559"",""message"":""(a07ccc02)","{""host"":""login01"",""ident"":""CROND"",""pid"":""26559"",""message"":""(a07ccc02)","CMD (/g100/home/usera07ccc/a07ccc02/gridftp/scripts_in_cron/sync_data_to_dres.sh)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",4b700d2d,"CMD <*> <*> +0100""}","['(/g100/home/usera07ccc/a07ccc02/gridftp/scripts_in_cron/sync_data_to_dres.sh)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01']"
42,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26563"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""26563"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",025a764c,"CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:00:01']
43,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26564"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""26564"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",a8ff429d,"CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r <*> -s <*> > <*> +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['MEDSEA', 'EAS7V1', '> /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date', '02:00:01']"
44,"{""host"":""login01"",""ident"":""CROND"",""pid"":""28440"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""28440"",""message"":""(root)","CMD (run-parts /etc/cron.hourly)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",960e97e5,"CMD (run-parts /etc/cron.hourly)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
45,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""28440"",""message"":""(/etc/cron.hourly)","{""host"":""login01"",""ident"":""run-parts"",""pid"":""28440"",""message"":""(/etc/cron.hourly)","starting 0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",1691bc66,"starting <*> <*> +0100""}","['0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01']"
46,"{""host"":""login01"",""ident"":""anacron"",""pid"":""28450"",""message"":""Anacron","{""host"":""login01"",""ident"":""anacron"",""pid"":""28450"",""message"":""Anacron","started on 2024-03-27"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",79e38360,"started on 2024-03-27"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
