LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
34,2024-03-27T01:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""22005"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:30:01']
35,2024-03-27T01:35:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""29177"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:35:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:35:01']
36,2024-03-27T01:40:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""36050"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:40:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:40:01']
37,2024-03-27T01:45:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""43199"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:45:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:45:01']
38,2024-03-27T01:45:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""43208"",""message"":""(a07ccc02)","CMD (/g100/home/usera07ccc/a07ccc02/acct_data/scripts_in_cron/sync_acct-data_to_dres.sh)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:45:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:45:01']
39,2024-03-27T01:50:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""13523"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:50:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:50:01']
40,2024-03-27T02:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26540"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:00:01']
41,2024-03-27T02:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26559"",""message"":""(a07ccc02)","CMD (/g100/home/usera07ccc/a07ccc02/gridftp/scripts_in_cron/sync_data_to_dres.sh)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:00:01']
42,2024-03-27T02:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26563"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:00:01']
43,2024-03-27T02:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""26564"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:00:01']
