cwd,exit,items,ppid,pid,comm,timedelta,pid_timedelta,id_anomalies,num_id_anomalies
/,0.0,2.0,711.0,2251.0,pkla-check-auth,0.010999917984008789,0 days 00:00:00.010999918,1.0,0
/home/matteo,0.0,3.0,2246.0,2253.0,grepconf.sh,0.029999971389770508,0 days 00:00:00.029999971,0.0,0
/home/matteo,0.0,2.0,2253.0,2254.0,grep,0.00800013542175293,0 days 00:00:00.008000135,0.0,0
/,0.0,2.0,711.0,2255.0,pkla-check-auth,0.009999990463256836,0 days 00:00:00.009999991,1.0,0
/home/matteo,0.0,3.0,2246.0,2256.0,grepconf.sh,0.017999887466430664,0 days 00:00:00.017999887,0.0,0
/home/matteo,0.0,2.0,2256.0,2258.0,grep,0.01399993896484375,0 days 00:00:00.013999939,0.0,0
/,0.0,2.0,711.0,2259.0,pkla-check-auth,0.006999969482421875,0 days 00:00:00.006999970,1.0,0
/home/matteo,0.0,3.0,2246.0,2260.0,grepconf.sh,0.010000228881835938,0 days 00:00:00.010000229,0.0,0
/home/matteo,0.0,2.0,2260.0,2261.0,grep,0.009999990463256836,0 days 00:00:00.009999990,0.0,0
/home/matteo,0.0,2.0,2263.0,2264.0,cat,0.021999835968017578,0 days 00:00:00.021999836,0.0,0
/,0.0,2.0,711.0,2266.0,pkla-check-auth,0.003000020980834961,0 days 00:00:00.003000021,1.0,0
/home/matteo,0.0,2.0,2263.0,2265.0,tr,0.002000093460083008,0 days 00:00:00.002000093,0.0,0
/home/matteo,0.0,2.0,2268.0,2271.0,flatpak,0.017999887466430664,0 days 00:00:00.017999887,0.0,0
/home/matteo,0.0,2.0,2272.0,2273.0,locale,0.04800009727478027,0 days 00:00:00.048000098,0.0,0
/home/matteo,0.0,2.0,2246.0,2275.0,sed,0.009999990463256836,0 days 00:00:00.009999991,0.0,0
/,0.0,2.0,711.0,2274.0,pkla-check-auth,-0.00800013542175293,-1 days +23:59:59.991999864,1.0,0
/home/matteo,0.0,2.0,2281.0,2282.0,tclsh,0.040000200271606445,0 days 00:00:00.040000201,0.0,0
/home/matteo,0.0,2.0,2283.0,2284.0,ps,0.10500001907348633,0 days 00:00:00.105000019,0.0,0
/home/matteo,0.0,2.0,2246.0,2283.0,basename,0.039999961853027344,0 days 00:00:00.039999961,0.0,0
/home/matteo,0.0,2.0,2285.0,2286.0,readlink,0.013000011444091797,0 days 00:00:00.013000012,0.0,0
/home/matteo,0.0,2.0,2246.0,2285.0,basename,0.009999990463256836,0 days 00:00:00.009999990,0.0,0
/home/matteo,0.0,3.0,2238.0,2246.0,gnome-session,0.014999866485595703,0 days 00:00:00.014999867,0.0,0
/home/matteo,0.0,2.0,2246.0,2287.0,gsettings,0.013000011444091797,0 days 00:00:00.013000011,0.0,0
/home/matteo,0.0,2.0,2238.0,2246.0,gnome-session-b,0.015000104904174805,0 days 00:00:00.015000105,0.0,0
/home/matteo,0.0,2.0,2201.0,2293.0,gnome-session-c,0.21799993515014648,0 days 00:00:00.217999935,0.0,0
